runNo,evtNo,nJets,nLeptons,nBJets,category,mva,jetPt,jetEta,jetPhi,jetMass,jetMassSoftDrop,jetTau1,jetTau2,jetTau3,triggerBit
274241,5798993,2,0,1,1,0.346588,[ 411.30560303  389.0531311 ],[-0.34163868  0.53947151],[ 1.80230117 -1.44995689],[ 152.47172546  100.11213684],[ 146.75166321   96.7322998 ],[ 0.3682417   0.15251268],[ 0.16901465  0.06197529],[ 0.14747882  0.04867362],[False  True  True False False False False False False False]
274241,5484880,2,0,0,0,0.351708,[ 376.76364136  332.15206909],[-2.07238173  1.09194207],[ 0.39550126 -2.74249744],[ 114.72756195   89.88150787],[ 106.97304535   79.36392975],[ 0.27189684  0.22558039],[ 0.13605206  0.10869746],[ 0.09337553  0.09603667],[False  True  True False False False False False False False]
274241,6991209,2,0,0,0,0.450492,[ 474.54434204  337.90963745],[ 0.56530648  0.608127  ],[-0.63353211  2.63444996],[ 107.63963318  137.08308411],[  83.05387878  113.20534515],[ 0.19495729  0.39272353],[ 0.09303492  0.25054538],[ 0.07233218  0.18326722],[ True  True  True False False False False False False False]
274241,6302329,2,0,1,1,0.225423,[ 328.45797729  302.15756226],[-0.5077064   0.38499951],[ 0.5113073  -2.70721507],[ 95.98101044  93.54505157],[ 81.81690216  81.5658493 ],[ 0.29173377  0.26979324],[ 0.11080809  0.16723672],[ 0.10119379  0.12297138],[False  True  True False False False False False False False]
274241,6416474,2,0,2,2,0.276901,[ 485.83023071  403.72943115],[ 0.81719577  0.52452946],[ 1.64934897 -1.47930956],[  90.77346802  110.13950348],[ 58.07300949  73.85083008],[ 0.1845827   0.27030262],[ 0.1276596   0.09285185],[ 0.08957306  0.08079147],[ True  True  True False False False False False False False]
274241,5354471,2,0,0,0,0.255971,[ 363.03363037  265.98977661],[ 1.68651152 -1.51407695],[ 0.93455118 -2.08318019],[  88.67240906  106.37001038],[ 71.515625    98.82842255],[ 0.18620025  0.34312335],[ 0.11353629  0.12004914],[ 0.09580809  0.10052203],[False  True False False False False False False False False]
274241,5339202,2,0,1,0,0.592075,[ 415.865448    408.02331543],[ 1.72585332  0.25321832],[ 2.4825027  -0.68020219],[ 156.05357361  116.29945374],[ 108.51064301  113.14933777],[ 0.37959662  0.32101572],[ 0.23656404  0.0634861 ],[ 0.18714765  0.0541817 ],[ True  True  True False False False False False False False]
274241,6102402,2,0,0,0,0.54447,[ 469.76245117  428.90759277],[ 0.43872684 -2.23743796],[-0.52397281  2.65293646],[ 143.92114258   77.99315643],[ 130.92510986   51.66670609],[ 0.2335327   0.13786806],[ 0.07053398  0.05752516],[ 0.05856362  0.04421609],[ True  True  True False False False False False False False]
274241,6270707,2,0,0,1,0.449851,[ 309.46087646  302.11224365],[-0.07527576 -0.82650828],[ 1.77261794 -1.1940155 ],[ 70.45410156  99.34086609],[ 52.15999603  94.18138123],[ 0.19457151  0.26926261],[ 0.11404816  0.14833449],[ 0.0994624   0.08378799],[False  True False False False False False False False False]
274241,5332281,2,0,0,0,0.207188,[ 362.78744507  288.30145264],[ 1.39837623 -1.10888779],[-0.1901404  2.9277842],[ 105.72863007  118.10009003],[  92.04302216  108.90284729],[ 0.27950391  0.39456356],[ 0.19997667  0.11302633],[ 0.16754524  0.09567468],[False  True False False False False False False False False]
274241,6233508,2,0,0,0,0.633121,[ 465.56506348  423.42364502],[-1.05174661 -2.14536667],[ 1.07885075 -2.02829409],[ 167.74467468   99.56111145],[ 153.03025818   73.62509155],[ 0.35598984  0.20886388],[ 0.17500536  0.07486075],[ 0.12297793  0.06064004],[ True  True  True False False False False False False False]
274241,6417833,2,0,0,1,0.192575,[ 365.90859985  356.10379028],[-0.55795842  1.06638157],[ 0.16173375  3.04006386],[  89.35932159  154.38114929],[  83.18448639  145.95729065],[ 0.14584772  0.4912245 ],[ 0.07928932  0.12230704],[ 0.0695342   0.10818759],[False  True  True False False False False False False  True]
274241,6759060,2,0,0,0,0.237416,[ 507.48269653  253.1988678 ],[ 0.59613079 -0.73397034],[-0.82873499  2.17779112],[ 136.41835022   98.8353653 ],[ 132.09738159  101.34402466],[ 0.23678066  0.33310604],[ 0.11538347  0.16912065],[ 0.09042151  0.14532031],[ True  True  True False False False False False False False]
274241,6033981,2,0,0,0,0.245664,[ 501.40393066  488.11776733],[ 0.49639684 -0.03023988],[ 2.06430697 -1.07892358],[ 112.78561401  124.3690567 ],[ 65.42001343  79.16294098],[ 0.19788262  0.2357939 ],[ 0.11166989  0.1109272 ],[ 0.08994441  0.08586945],[ True  True  True False False False False False False False]
274241,6533582,2,0,0,0,0.113873,[ 386.34957886  336.81729126],[-2.1917603   0.14143014],[-0.7015233   2.41003489],[ 73.72351837  86.04089355],[ 50.16446686  56.43670273],[ 0.10314406  0.2322083 ],[ 0.05085363  0.13588051],[ 0.0421646   0.12864852],[False  True  True False False False False False False False]
274241,6211607,2,0,1,1,0.237883,[ 349.61486816  337.16488647],[ 0.64569789  1.0291816 ],[ 2.28239584 -0.97119188],[ 95.74582672  81.14299011],[ 79.54413605  67.41420746],[ 0.28441152  0.17487679],[ 0.09625542  0.11269508],[ 0.07753076  0.08976277],[False  True False False False False False False False  True]
274241,6248485,2,0,1,1,0.244425,[ 334.35559082  330.31573486],[-1.31608534  1.4457103 ],[ 2.22234583 -0.93602312],[ 127.42353821   86.84664917],[ 119.4322052    66.64247131],[ 0.42730436  0.2739929 ],[ 0.14870264  0.15317464],[ 0.12213645  0.12393395],[False  True False False False False False False False False]
274241,6137146,2,0,0,0,0.274983,[ 318.5043335   312.06506348],[-0.94305271 -0.43684313],[-3.00633788  0.12073408],[  84.57673645  121.79980469],[  68.30606079  115.33854675],[ 0.1958822   0.40657765],[ 0.09329426  0.18731336],[ 0.08024532  0.16150863],[False  True False False False False False False False False]
274241,6282098,2,0,0,0,0.192095,[ 391.14465332  275.84124756],[ 1.79799032 -1.84416962],[-1.00944602  1.90301573],[ 132.23753357   85.53633118],[ 118.90393829   57.0716362 ],[ 0.33543634  0.22060049],[ 0.08789098  0.15166852],[ 0.08095761  0.11722759],[False  True  True  True False False False False False False]
274241,5263348,2,0,0,0,0.208744,[ 366.86880493  279.36212158],[-1.04026163  0.88713455],[-2.01892805  1.29558659],[ 95.35237122  85.92645264],[ 80.68665314  69.89336395],[ 0.26367381  0.32956129],[ 0.17537111  0.1184162 ],[ 0.14991656  0.09750399],[False  True  True False  True False False False False False]
274241,6010910,2,0,0,0,0.499301,[ 317.57092285  285.67584229],[ 0.59456575  1.55324924],[-0.87384951  2.2629993 ],[ 123.4830246    70.76106262],[ 116.18923187   53.91408157],[ 0.41277933  0.26384485],[ 0.14950839  0.10823872],[ 0.10439816  0.09780519],[False  True False False False False False False False False]
274241,6445747,2,0,0,0,0.286496,[ 425.36407471  388.41326904],[ 1.24455392 -0.84223765],[-1.25358391  1.90088677],[ 172.68632507   96.18170929],[ 156.4125061    60.72362137],[ 0.4341664   0.23126505],[ 0.1744982   0.11457479],[ 0.14571247  0.09265102],[False  True  True False False False False False False False]
274241,5695413,2,0,0,0,0.436542,[ 373.7203064   305.35314941],[-0.54269791  0.73261458],[ 2.60978651 -0.84344995],[ 120.3254776   126.00967407],[  64.97259521  122.98983765],[ 0.27504069  0.3603842 ],[ 0.15304388  0.16511574],[ 0.11407742  0.11875983],[False  True  True False False False False False False False]
274241,5491813,2,0,0,0,0.30964,[ 380.93432617  266.58078003],[-0.86695546 -1.78339446],[-0.78967255  2.19941235],[ 109.92030334  127.49217987],[  51.3530159   119.38335419],[ 0.27419966  0.51417726],[ 0.15552144  0.17796761],[ 0.14568497  0.13122347],[False  True  True False False False False False False False]
274241,6299469,2,0,0,0,0.713997,[ 394.49688721  317.59075928],[ 0.20511203 -0.48217025],[ 1.5315491  -1.39735222],[ 170.82591248  147.60328674],[ 168.42138672  145.47325134],[ 0.42541161  0.46331048],[ 0.12928246  0.25488386],[ 0.1140303   0.14337181],[False  True  True False False False False False False False]
274241,6643291,2,0,0,0,0.0218002,[ 745.03283691  690.43591309],[ 0.25736809 -0.84361064],[-2.7872138   0.37346366],[ 167.83573914  106.18187714],[ 139.50947571   64.41408539],[ 0.19060589  0.1105074 ],[ 0.11061953  0.08052734],[ 0.09391011  0.06890655],[ True  True  True False  True False False False False False]
274241,5280242,2,0,1,0,0.595227,[ 729.66015625  342.36404419],[ 2.01902556 -0.72660345],[-2.10241652 -1.29747713],[ 266.24090576  100.93270111],[ 258.28753662   73.41608429],[ 0.29677653  0.23157625],[ 0.13454261  0.13465619],[ 0.09049062  0.08758847],[ True  True  True False False False False False False False]
